База: 2492 слов. Под фотографию отобрано 190.

  412/593  potato         21.2 КБ q78             1178 c   
  413/593  powder         29.7 КБ q78             1183 c   
  414/593  price          нет картинки            1184 c   
  415/593  princess       нет картинки            1186 c   
  416/593  professional   13.7 КБ q78             1190 c   
  417/593  professor      нет картинки            1191 c   
  418/593  progress       14.7 КБ q78             1196 c   
  419/593  psychology     нет картинки            1198 c   
  420/593  pub            26.8 КБ q78             1202 c   
  421/593  pump           13.9 КБ q78             1206 c   
  422/593  rabbit         24.7 КБ q78             1207 c   
  423/593  railway        12.4 КБ q78             1211 c   
  424/593  rain           24.1 КБ q78             1211 c   
  425/593  ranch          нет картинки            1212 c   
  426/593  realtor        нет картинки            1214 c   
  427/593  recipe         17.6 КБ q78             1217 c   
  428/593  religion       нет картинки            1219 c   
  429/593  research       нет картинки            1221 c   
  430/593  resort         14.4 КБ q78             1225 c   
  431/593  rice           16.3 КБ q78             1225 c   
  432/593  river          15.9 КБ q78             1225 c   
  433/593  road           15.6 КБ q78             1225 c   
  434/593  roof           24.7 КБ q78             1229 c   
  435/593  root           нет картинки            1231 c   
  436/593  rope           30.6 КБ q78             1236 c   
  437/593  ruin           17.1 КБ q78             1240 c   
  438/593  ruler          22.4 КБ q78             1240 c   
  439/593  run            9.6 КБ q78              1240 c   
  440/593  sail           нет картинки            1242 c   
  441/593  sailing        15.1 КБ q78             1247 c   
  442/593  salad          нет картинки            1248 c   
  443/593  salt           нет картинки            1249 c   
  444/593  sand           2.9 КБ q78              1253 c   
  445/593  sandwich       11.4 КБ q78             1258 c   
  446/593  sashimi        18.3 КБ q78             1262 c   
  447/593  sauce          19.0 КБ q78             1267 c   
  448/593  scaffold       27.6 КБ q78             1271 c   
  449/593  scapegoat      31.0 КБ q78             1275 c   
  450/593  scarf          4.7 КБ q78              1275 c   
  451/593  schedule       26.2 КБ q78             1280 c   
  452/593  school         24.1 КБ q78             1280 c   
  453/593  screw          нет картинки            1281 c   
  454/593  sea            15.0 КБ q78             1281 c   
  455/593  season         нет картинки            1283 c   
  456/593  secretary      нет картинки            1285 c   
  457/593  seminar        нет картинки            1286 c   
  458/593  senator        нет картинки            1288 c   
  459/593  servant        нет картинки            1289 c   
  460/593  shamrock       нет картинки            1291 c   
  461/593  shark          5.7 КБ q78              1295 c   
  462/593  sheriff        28.0 КБ q78             1300 c   
  463/593  shirt          8.8 КБ q78              1300 c   
  464/593  shoe           15.6 КБ q78             1300 c   
  465/593  shoelace       11.6 КБ q78             1304 c   
  466/593  shop           27.8 КБ q78             1304 c   
  467/593  shore          8.5 КБ q78              1304 c   
  468/593  shoulder       нет картинки            1305 c   
  469/593  sidewalk       19.0 КБ q78             1310 c   
  470/593  sieve          11.4 КБ q78             1314 c   
  471/593  sing           15.3 КБ q78             1314 c   
  472/593  singer         15.3 КБ q78             1314 c   
  473/593  sister         14.3 КБ q78             1318 c   
  474/593  skin           35.2 КБ q78             1323 c   
  475/593  skirt          нет картинки            1325 c   
  476/593  skull          нет картинки            1326 c   
  477/593  sky            11.9 КБ q78             1330 c   
  478/593  sleep          13.8 КБ q78             1330 c   
  479/593  sleeve         14.2 КБ q78             1335 c   
  480/593  smile          нет картинки            1337 c   
  481/593  smiley         нет картинки            1338 c   
  482/593  snow           18.3 КБ q78             1338 c   
  483/593  society        27.6 КБ q78             1342 c   
  484/593  sock           12.4 КБ q78             1342 c   
  485/593  software       13.2 КБ q78             1346 c   
  486/593  soil           38.5 КБ q66             1351 c   
  487/593  soup           21.8 КБ q78             1351 c   
  488/593  space          нет картинки            1353 c   
  489/593  spoon          12.3 КБ q78             1353 c   
  490/593  sport          21.7 КБ q78             1357 c   
  491/593  spy            18.1 КБ q78             1362 c   
  492/593  stable         29.9 КБ q78             1367 c   
  493/593  stadium        28.4 КБ q78             1372 c   
  494/593  stand          23.4 КБ q78             1373 c   
  495/593  star           2.1 КБ q78              1374 c   
  496/593  station        19.9 КБ q78             1374 c   
  497/593  stomach        нет картинки            1375 c   
  498/593  stone          32.0 КБ q78             1380 c   
  499/593  storm          9.2 КБ q78              1380 c   
  500/593  street         23.6 КБ q78             1380 c   
  501/593  student        24.8 КБ q78             1384 c   
  502/593  sugar          23.0 КБ q78             1389 c   
  503/593  suit           нет картинки            1390 c   
  504/593  summer         37.9 КБ q78             1390 c   
  505/593  sun            2.1 КБ q78              1390 c   
  506/593  superhero      нет картинки            1392 c   
  507/593  supermarket    28.1 КБ q78             1392 c   
  508/593  surgeon        13.5 КБ q78             1396 c   
  509/593  surveillance   5.2 КБ q78              1400 c   
  510/593  swim           26.3 КБ q78             1400 c   
  511/593  swine          36.7 КБ q78             1404 c   
  512/593  taco           26.0 КБ q78             1408 c   
  513/593  tail           29.6 КБ q78             1413 c   
  514/593  taste          нет картинки            1414 c   
  515/593  taxi           19.4 КБ q78             1414 c   
  516/593  tea            11.5 КБ q78             1414 c   
  517/593  teacher        18.2 КБ q78             1414 c   
  518/593  teahouse       22.3 КБ q78             1419 c   
  519/593  telephone      11.6 КБ q78             1423 c   
  520/593  television     21.7 КБ q78             1428 c   
  521/593  temperature    12.7 КБ q78             1428 c   
  522/593  tennis         17.0 КБ q78             1432 c   
  523/593  tent           21.4 КБ q78             1437 c   
  524/593  territory      17.2 КБ q78             1442 c   
  525/593  theater        нет картинки            1443 c   
  526/593  thirst         нет картинки            1444 c   
  527/593  tiger          39.0 КБ q78             1448 c   
  528/593  toe            4.0 КБ q78              1453 c   
  529/593  toilet         9.8 КБ q78              1457 c   
  530/593  tongue         19.2 КБ q78             1461 c   
  531/593  tool           12.1 КБ q78             1466 c   
  532/593  toolbar        нет картинки            1467 c   
  533/593  tornado        4.1 КБ q78              1471 c   
  534/593  tourist        32.3 КБ q78             1475 c   
  535/593  tower          5.8 КБ q78              1480 c   
  536/593  town           19.5 КБ q78             1484 c   
  537/593  toy            не обработалось         1488 c   
  538/593  trade          нет картинки            1490 c   
  539/593  traffic        24.8 КБ q78             1490 c   
  540/593  training       30.9 КБ q78             1495 c   
  541/593  travel         25.3 КБ q78             1499 c   
  542/593  treasure       25.2 КБ q78             1503 c   
  543/593  tree           24.2 КБ q78             1504 c   
  544/593  troll          нет картинки            1505 c   
  545/593  tunnel         21.4 КБ q78             1509 c   
  546/593  twin           нет картинки            1511 c   
  547/593  umbrella       2.8 КБ q78              1511 c   
  548/593  uncle          11.5 КБ q78             1515 c   
  549/593  unemployment   нет картинки            1517 c   
  550/593  university     15.6 КБ q78             1521 c   
  551/593  vacuum         7.1 КБ q78              1525 c   
  552/593  valley         23.8 КБ q78             1529 c   
  553/593  vampire        нет картинки            1531 c   
  554/593  van            15.2 КБ q78             1535 c   
  555/593  varnish        13.1 КБ q78             1539 c   
  556/593  vehicle        23.8 КБ q78             1543 c   
  557/593  veterinary     22.2 КБ q78             1547 c   
  558/593  victory        нет картинки            1549 c   
  559/593  villa          22.6 КБ q78             1554 c   
  560/593  village        26.5 КБ q78             1554 c   
  561/593  vinegar        31.3 КБ q78             1558 c   
  562/593  volunteer      39.0 КБ q78             1562 c   
  563/593  vomiting       нет картинки            1563 c   
  564/593  wall           13.8 КБ q78             1563 c   
  565/593  wallet         26.8 КБ q78             1563 c   
  566/593  walnut         11.5 КБ q78             1568 c   
  567/593  walrus         13.5 КБ q78             1572 c   
  568/593  warrior        нет картинки            1573 c   
  569/593  wash           9.7 КБ q78              1574 c   
  570/593  water          5.8 КБ q78              1574 c   
  571/593  wealth         нет картинки            1574 c   
  572/593  weather        8.4 КБ q78              1574 c   
  573/593  webcam         17.0 КБ q78             1579 c   
  574/593  week           нет картинки            1580 c   
  575/593  wheel          23.2 КБ q78             1584 c   
  576/593  whistle        6.2 КБ q78              1589 c   
  577/593  wife           нет картинки            1591 c   
  578/593  wind           нет картинки            1593 c   
  579/593  window         9.9 КБ q78              1593 c   
  580/593  winter         19.8 КБ q78             1593 c   
  581/593  woman          15.2 КБ q78             1597 c   
  582/593  wood           10.6 КБ q78             1601 c   
  583/593  woodpecker     21.4 КБ q78             1606 c   
  584/593  word           21.6 КБ q78             1610 c   
  585/593  workshop       25.4 КБ q78             1614 c   
  586/593  world          15.0 КБ q78             1618 c   
  587/593  writer         нет картинки            1620 c   
  588/593  yarn           17.9 КБ q78             1624 c   
  589/593  yeast          2.5 КБ q78              1628 c   
  590/593  yogurt         5.0 КБ q78              1633 c   
  591/593  zebra          нет картинки            1635 c   
  592/593  zoo            21.0 КБ q78             1639 c   
